Akoluth,,, 1. acolyte ,,,,,,,
Akonit,,," 1. aconite, monkshood ",,,,,,,
Akrobat,,, 1. acrobat ,,,,,,,
Akrostikon,,, 1. achrostic ,,,,,,,
Akt,,, 1. act ," 2. certificate, diploma, document ",,,,,,
Akte,,, 1. act ," 2. certificate, diploma, document ",,,,,,
Aktie,,, 1. share ,,,,,,,
Aktieninhaber,,, 1. shareholder ,,,,,,,
Aktionär,,, 1. shareholder ,,,,,,,
Aktuar,,, 1. actuary ,,,,,,,
Akustik,,, 1. acoustics ,,,,,,,
Akzent,,," 1. accent, stress ",,,,,,,
Akzise,,," 1. excise, excise-duty ",,,,,,,
Alabaster,,, 1. alabaster ,,,,,,,
Alarm,,, 1. alarm ,,,,,,,
Alaska,,, 1. Alaska ,,,,,,,
Alaun,,, 1. alum ,,,,,,,
Albaner,,, 1. Albanian ,,,,,,,
Albanesisch,,," 1. Albanian, Albanian language ",,,,,,,
Albanien,,, 1. Albania ,,,,,,,
Albanier,,, 1. Albanian ,,,,,,,
Albanierin,,," 1. Albanian, Albanian woman ",,,,,,,
Albanisch,,," 1. Albanian, Albanian language ",,,,,,,
Album,,, 1. album ,,,,,,,
Alchemie,,, 1. alchemy ,,,,,,,
Alchimie,,, 1. alchemy ,,,,,,,
Alge,,," 1. alga, seaweed ",,,,,,,
Algebra,,, 1. algebra ,,,,,,,
Algerien,,, 1. Algeria ,,,,,,,
Algerier,,, 1. Algerian ,,,,,,,
Alibi,,, 1. alibi ,,,,,,,
Alimente,,, 1. alimony ,,,,,,,
Alinea,,, 1. paragraph ,,,,,,,
Alkali,,, 1. alkali ,,,,,,,
Alkohol,,, 1. alcohol ,,,,,,,
Alkoholismus,,, 1. alcoholism ,,,,,,,
Alkoven,,," 1. alcove, recess ",,,,,,,
Allah,,, 1. Allah ,,,,,,,
Allee,,, 1. avenue ,,,,,,,
Allegorie,,, 1. allegory ,,,,,,,
Allerheiligen,,, 1. All Saints' Day ," 2. All Hallows, All Saints' Day ",,,,,,
Allerseelen,,, 1. All Souls' Day ,,,,,,,
Alles,,," 1. all, all of it ",,,,,,,
Allianz,,," 1. connection, league ",,,,,,,
Alligator,,, 1. alligator ,,,,,,,
Allmacht,,, 1. omnipotence , 2. omnipotence ,,,,,,
Alluvium,,," 1. alluvion, alluvium ",,,,,,,
Alm,,," 1. alp, mountain pasture ",,,,,,,
Almanach,,, 1. almanac , 2. year-book ,,,,,,
Almosen,,," 1. alms, charity ",,,,,,,
Aloe,,, 1. aloe ,,,,,,,
Alpaka,,, 1. alpaca ,,,,,,,
Alpdrücken,,, 1. nightmare ,,,,,,,
Alpe,,," 1. alp, mountain pasture ",,,,,,,
Alpen,,, 1. Alps ,,,,,,,
Alpenrose,,," 1. Alpenrose, rhododendron ",,,,,,,
Alphabet,,, 1. alphabet ,,,,,,,
Altan,,, 1. balcony , 2. arbor , 3. terrace ,,,,,
Altar,,, 1. altar ,,,,,,,
Alter,,, 1. age ,,,,,,,
Alternative,,," 1. alternative, option ",,,,,,,
Altertumskunde,,, 1. archaeology ,,,,,,,
Altist,,," 1. alt, countertenor ",,,,,,,
Altstimme,,," 1. contralto, contralto voice ", 2. contralto ,,,,,,
Aluminium,,," 1. aluminium, aluminum ",,,,,,,
Amateur,,," 1. amateur, fancier ", 2. amateur ,,,,,,
Amazone,,, 1. Amazon , 2. horsewoman ,,,,,,
Ambra,,, 1. amber ,,,,,,,
Ambrosia,,, 1. ambrosia ,,,,,,,
Ameise,,," 1. ant, emmet ",,,,,,,
Ameisenbär,,, 1. ant-eater ,,,,,,,
Amerika,,, 1. America ,,,,,,,
Amerikaner,,, 1. American ," 2. American, US citizen ",,,,,,
Amerikanerin,,, 1. American woman ,,,,,,,
Amethyst,,, 1. amethyst ,,,,,,,
Ammoniak,,, 1. ammonia ,,,,,,,
Ammonium,,, 1. ammonia ,,,,,,,
Amnestie,,," 1. act of grace, amnesty ",,,,,,,
Amor,,," 1. love, sexual love ",,,,,,,
Ampel,,, 1. hanging lamp ,,,,,,,
Amphibie,,, 1. amphibian ,,,,,,,
Amphitheater,,, 1. amphitheatre ,,,,,,,
Amphora,,, 1. amphora ,,,,,,,
Ampère,,, 1. ampère ,,,,,,,
Amsel,,, 1. blackbird ,,,,,,,
Amsterdam,,, 1. Amsterdam ,,,,,,,
Amt,,," 1. bureau, office "," 2. function, job, office, post ",,,,,,
Amtsbezirk,,, 1. district ,,,,,,,
Amtsbruder,,, 1. colleague ,,,,,,,
Amtsgenosse,,, 1. colleague ,,,,,,,
Amtswürde,,," 1. grade, rank, rate ",,,,,,,
Amulett,,," 1. amulet, charm, talisman ",,,,,,,
Anachronismus,,, 1. anachronism ,,,,,,,
Anagram,,, 1. anagram ,,,,,,,
Analogie,,, 1. analogy ,,,,,,,
Analphabet,,, 1. illiterate ,,,,,,,
Ananas,,, 1. pineapple ,,,,,,,
Anapäst,,, 1. anapaest ,,,,,,,
Anarchie,,, 1. anarchy ,,,,,,,
Anarchismus,,, 1. anarchism ,,,,,,,
Anatolien,,," 1. Anatolia, Asia Minor ",,,,,,,
Anatomie,,, 1. anatomy ,,,,,,,
Anbau,,, 1. building ,,,,,,,
Anbetracht,,," 1. consideration, deliberation ",,,,,,,
Anblick,,," 1. appearance, aspect, look, sight, view ", 2. view ,,,,,,
Anchovis,,, 1. anchovy ,,,,,,,
Anden,,, 1. Andes ,,,,,,,
Andenken,,," 1. keepsake, memento, souvenir "," 2. memory, recollection ",,,,,,
Andorra,,, 1. Andorra ,,,,,,,
Andrang,,," 1. access, impetus, impulse "," 2. insistence, pressure, urgency ",,,,,,
Andrift,,," 1. access, impetus, impulse ",,,,,,,
Aneinanderreihung,,, 1. order ,,,,,,,
Anekdote,,, 1. anecdote ,,,,,,,
Anemone,,, 1. anemone ,,,,,,,
Anerbieten,,, 1. offer ,,,,,,,
Anfall,,," 1. access, aggression, attack ",,,,,,,
Anfang,,," 1. beginning, commencement, start "," 2. beginning, commencement, start ",,,,,,
Anführungszeichen,,," 1. inverted comma, quotation mark, quote ",,,,,,,
Angabe,,," 1. declaration, proclamation, statement ",,,,,,,
Angebinde,,," 1. gift, present ",,,,,,,
Angel,,, 1. hook ,,,,,,,
Angelegenheit,,," 1. affair, business, business deal, case, matter ",,,,,,,
Angelhaken,,, 1. hook ,,,,,,,
Angelleine,,, 1. line ,,,,,,,
Angelrute,,, 1. fishing rod ,,,,,,,
Angelsachse,,, 1. Anglo-Saxon ,,,,,,,
Angelus,,, 1. angelus ,,,,,,,
Anger,,, 1. meadow ,,,,,,,
Angesicht,,, 1. face ,,,,,,,
Angestellte,,, 1. clerk ,,,,,,,
Angewohnheit,,," 1. custom, habit, way ",,,,,,,
Angina,,," 1. angina, quinsy ",,,,,,,
Angola,,, 1. Angola ,,,,,,,
Angriff,,," 1. access, aggression, attack ",,,,,,,
Angst,,," 1. agony, anguish, fear ", 2. fright , 3. fear ,,,,,
Anhang,,," 1. addition, adjunct "," 2. adherents, disciples, following, party, supporters ",,,,,,
Anhänger,,," 1. acolyte, member, supporter ", 2. disciple ," 3. member, supporter ",,,,,
Anhängsel,,," 1. accessory matter, sideissue, sideshow ",,,,,,,
Anhäufung,,, 1. agglomeration ,,,,,,,
Anilin,,, 1. aniline ,,,,,,,
Anis,,, 1. anise ,,,,,,,
Ankara,,," 1. Angora, Ankara ",,,,,,,
Anker,,, 1. anchor ,,,,,,,
Ankläger,,, 1. accuser ,,,,,,,
Ankunft,,, 1. arrival ,,,,,,,
Ankündigung,,," 1. notification, notice ",,,,,,,
Anlage,,, 1. planting , 2. plant , 3. garden ,,,,,
Anlasser,,, 1. starter ,,,,,,,
Anlauf,,, 1. run ,,,,,,,
Anlaß,,," 1. cause, reason "," 2. command, order ",,,,,,
Anleihe,,, 1. loan ,,,,,,,
Anmut,,, 1. charm ,,,,,,,
Annahme,,," 1. acceptance, admission ", 2. hypothesis ,,,,,,
Annehmlichkeit,,, 1. pleasantness ,,,,,,,
Annonce,,," 1. ad, advertisement ",,,,,,,
Anomalie,,," 1. abnormity, anomaly ",,,,,,,
Anpflanzen,,, 1. planting , 2. plant ,,,,,,
Anpflanzung,,, 1. planting , 2. plant ,,,,,,
Anregung,,," 1. excitation, excitement ",,,,,,,
Anreiz,,, 1. attraction ," 2. impetus, incitement, stimulus ",,,,,,
Anreizung,,," 1. impetus, incitement, stimulus ",,,,,,,
Anschauung,,, 1. observation ,,,,,,,
Anschein,,, 1. appearance ,,,,,,,
Anschlag,,," 1. notice, placard, poster ", 2. assault , 3. knock ,,,,,
Anschlagzettel,,," 1. notice, placard, poster ",,,,,,,
Anschluß,,, 1. connection ,,,,,,,
Anschovis,,, 1. anchovy ,,,,,,,
Ansehen,,, 1. reputation , 2. appearance ," 3. esteem, regard, respect ",,,,,
Ansicht,,," 1. image, picture ", 2. view ,,,,,,
Ansiedelei,,," 1. colony, settlement ",,,,,,,
Ansiedlung,,," 1. colony, settlement ",,,,,,,
Anspielung,,, 1. allusion ,,,,,,,
Anspruch,,," 1. claim, presumption, pretence ",,,,,,,
Anspruch machen auf,,," 1. claim, presume ",,,,,,,
Anstalt,,, 1. place , 2. institute ,,,,,,
Anstand,,, 1. ambush ,,,,,,,
Ansteckung,,, 1. infection ,,,,,,,
Anstellung,,," 1. function, job, office, post ",,,,,,,
Anstoß,,, 1. abuse , 2. shock ,,,,,,
Anstoß erregen,,, 1. shock ,,,,,,,
Anstrengung,,, 1. efforts , 2. tension ,,,,,,
Ansuchen,,, 1. request ,,,,,,,
Anteil,,," 1. part, Parthian, share "," 2. part, piece, share ", 3. share ,,,,,
Anteilschein,,, 1. share ,,,,,,,
Anthologie,,, 1. anthology ,,,,,,,
Anthrazit,,, 1. anthracite ,,,,,,,
Anthropologie,,, 1. anthropology ,,,,,,,
Antichrist,,, 1. Antichrist ,,,,,,,
Antillen,,, 1. Antilles ,,,,,,,
Antilope,,, 1. antelope ,,,,,,,
Antimon,,, 1. antimony ,,,,,,,
Antipathie,,," 1. aversion, dislike ",,,,,,,
Antipode,,, 1. antipode ,,,,,,,
Antiquar,,, 1. antique dealer ,,,,,,,
Antithese,,, 1. antithesis ,,,,,,,
Antlitz,,, 1. face ,,,,,,,
Antrieb,,," 1. access, impetus, impulse "," 2. account, motive, reason ",,,,,,
Antwort,,," 1. answer, reply ",,,,,,,
Anwandlung,,," 1. attack, fit ",,,,,,,
Anwartschaft,,, 1. expectation ,,,,,,,
Anwuchs,,," 1. accretion, growth "," 2. enlargement, increase ", 3. increase ,,,,,
Anzahl,,," 1. amount, number ",,,,,,,
Anzeichen,,," 1. indication, omen, portent, precursor, presage, sign "," 2. character, mark, sign, signal, token ",,,,,,
Anzeige,,," 1. ad, advertisement "," 2. declaration, proclamation, statement ", 3. accusation ,,,,,
Anziehungskraft,,, 1. attraction ,,,,,,,
Anzug,,," 1. costume, outfit, suit "," 2. article of dress, garment "," 3. article of clothing, garment ",,,,,
Aorta,,, 1. aorta ,,,,,,,
Apathie,,, 1. apathy ,,,,,,,
Apenninen,,, 1. Apennines ,,,,,,,
Apfel,,, 1. apple ,,,,,,,
Apfelbaum,,, 1. apple-tree ,,,,,,,
Apfelsine,,, 1. orange ,,,,,,,
Apfelwein,,, 1. cider ,,,,,,,
Aphorismo,,, 1. aphorism ,,,,,,,
Aplomb,,," 1. aplomb, self-assurance ",,,,,,,
Apogäum,,, 1. acme ,,,,,,,
Apokalypse,,, 1. apocalypse ,,,,,,,
Apologie,,, 1. apology ,,,,,,,
Apostel,,, 1. apostle ,,,,,,,
Apostroph,,, 1. apostrophe ,,,,,,,
Apotheke,,," 1. chemist's shop, drugstore ",,,,,,,
Apotheker,,, 1. chemist ,,,,,,,
Apotheose,,, 1. apotheosis ,,,,,,,
Apparat,,," 1. apparatus, device, set ",,,,,,,
Appartement,,," 1. apartment, flat ",,,,,,,
Appellation,,, 1. appeal ,,,,,,,
Appetit,,, 1. appetite ,,,,,,,
Applaus,,, 1. acclamation ," 2. acclaim, acclamation, approval ",,,,,,
Approbation,,," 1. acclaim, approval ",,,,,,,
Aprikose,,, 1. apricot ,,,,,,,
April,,, 1. April ,,,,,,,
Aquarell,,, 1. water-colour ,,,,,,,
Aquarium,,, 1. aquarium ,,,,,,,
Araber,,, 1. Arab ,,,,,,,
Araberin,,, 1. Arabian woman ,,,,,,,
Arabeske,,, 1. arabesque ,,,,,,,
Arabien,,, 1. Arabia ,,,,,,,
Arbeit,,," 1. job, work "," 2. job, assigned job, task ",,,,,,
Arbeiter,,, 1. worker ," 2. hand, laborer, labourer, operative, worker, working man, workman ",,,,,,
Arbeitlosigkeit,,, 1. unemployment ,,,,,,,
Arbeitsbock,,," 1. bench, easel, tressle, workbench ",,,,,,,
Archaismus,,, 1. archaism ,,,,,,,
Arche,,, 1. ark ,,,,,,,
Archipel,,, 1. archipelago ,,,,,,,
Architekt,,, 1. architect ,,,,,,,
Architektur,,, 1. architecture ,,,,,,,
Architrav,,, 1. architrave ,,,,,,,
Archiv,,," 1. archive, archives, files, records ",,,,,,,
Archäologie,,, 1. archaeology ,,,,,,,
Ardennen,,, 1. Ardennes ,,,,,,,
Ardennerwald,,, 1. Ardennes ,,,,,,,
Arena,,, 1. arena ,,,,,,,
Argentinien,,, 1. Argentina ,,,,,,,
Argentinier,,, 1. Argentine ,,,,,,,
Argentinierin,,, 1. Argentinian woman ,,,,,,,
Argon,,, 1. argon ,,,,,,,
Argument,,," 1. argument, plea ",,,,,,,
Argus,,, 1. Argus , 2. Argus ,,,,,,
Argwohn,,, 1. suspicion ,,,,,,,
Arie,,," 1. air, aria ",,,,,,,
Arier,,, 1. Aryan ,,,,,,,
Aristokrat,,, 1. aristocrat ,,,,,,,
Arithmetik,,, 1. arithmetic ,,,,,,,
Arm,,, 1. arm ,,,,,,,
Armatur,,," 1. armature, brace, cramp-iron ",,,,,,,
Armband,,, 1. bracelet , 2. bracelet ,,,,,,
Armee,,, 1. army ,,,,,,,
Armenien,,, 1. Armenia ,,,,,,,
Armenier,,, 1. Armenian ,,,,,,,
Armut,,, 1. poverty ,,,,,,,
Arnheim,,, 1. Arnhem ,,,,,,,
Arnika,,, 1. arnica ,,,,,,,
Aroma,,," 1. aroma, flavour ",,,,,,,
Arrak,,," 1. rack, arrack ",,,,,,,
Arrest,,," 1. apprehension, arrest, detention ",,,,,,,
Arrestant,,," 1. arrested person, prisoner ",,,,,,,
Arrowroot,,, 1. arrowroot ,,,,,,,
Arsch,,," 1. backside, rump ",,,,,,,
Arsenal,,," 1. armoury, arsenal ",,,,,,,
Arsenik,,, 1. arsenic ,,,,,,,
Art,,," 1. property, quality "," 2. manner, mode, way "," 3. kind, sort ",,,,,
Arterie,,, 1. artery ,,,,,,,
Artikel,,," 1. article, commodity ", 2. article ,,,,,,
Artillerie,,, 1. artillery ,,,,,,,
Artischocke,,, 1. artichoke ,,,,,,,
Artist,,, 1. artist ,,,,,,,
Aruba,,, 1. Aruba ,,,,,,,
Arzt,,," 1. doctor, physician ",,,,,,,
As,,, 1. ace ,,,,,,,
Asbest,,, 1. asbestos ,,,,,,,
Asche,,," 1. ash, cinder ",,,,,,,
Aschenbecher,,, 1. ashtray ,,,,,,,
Aschenbrödel,,, 1. Cinderella ,,,,,,,
Aschermittwoch,,, 1. Ash Wednesday ,,,,,,,
Aserbaidschan,,, 1. Azerbaijan ,,,,,,,
Aserbaidschaner,,, 1. Azerbaijani ,,,,,,,
Asiat,,, 1. Asian ,,,,,,,
Asien,,, 1. Asia ,,,,,,,
Asphalt,,, 1. asphalt ,,,,,,,
Assekuranz,,, 1. insurance ,,,,,,,
Assistent,,," 1. aid, assistant, helper ",,,,,,,
Association,,," 1. circle, club, society ",,,,,,,
Assoziation,,, 1. association ,,,,,,,
Assyrer,,, 1. Assyrian ,,,,,,,
Assyrien,,, 1. Assyria ,,,,,,,
Ast,,," 1. bough, branch ",,,,,,,
Aster,,, 1. aster ,,,,,,,
Asteroide,,, 1. asteroid ,,,,,,,
Asthma,,," 1. asthma, shortness of breath, wheeziness ",,,,,,,
Astrologie,,, 1. astrology ,,,,,,,
Astronom,,, 1. astronomer ,,,,,,,
Astronomie,,, 1. astronomy ,,,,,,,
Asturien,,, 1. Asturias ,,,,,,,
Asyl,,, 1. asylum ," 2. place of refuge, shelter ",,,,,,
Atelier,,, 1. workplace , 2. workshop ,,,,,,
Atem,,, 1. breath ,,,,,,,
Atheismus,,, 1. atheism ,,,,,,,
Atheist,,, 1. atheist ,,,,,,,
Athen,,, 1. Athens ,,,,,,,
Athene,,," 1. Athena, Athene ",,,,,,,
Athener,,, 1. Athenian ,,,,,,,
Atheïsmus,,, 1. atheism ,,,,,,,
Athlet,,, 1. athlete ,,,,,,,
Athrophie,,, 1. atrophy ,,,,,,,
Atlantik-,,, 1. Atlantean , 2. Atlantic ,,,,,,
Atlantischer Ozean,,," 1. Atlantic, Atlantic Ocean ",,,,,,,
Atlas,,, 1. Atlas , 2. atlas ,,,,,,
Atmen,,, 1. respiration ,,,,,,,
Atmosphäre,,, 1. atmosphere ,,,,,,,
Atmung,,, 1. respiration ,,,,,,,
Atom,,, 1. atom ,,,,,,,
Atout,,, 1. trump ,,,,,,,
Attaché,,, 1. attaché ,,,,,,,
Attentat,,, 1. assault ,,,,,,,
Attest,,," 1. certificate, testimony ",,,,,,,
Attribut,,, 1. attribute ,,,,,,,
Audienz,,, 1. audience ,,,,,,,
Auditorium,,, 1. auditory ,,,,,,,
Aue,,, 1. meadow ,,,,,,,
Auerochs,,, 1. aurochs ,,,,,,,
Aufenthalt,,, 1. stay ,,,,,,,
Auffassung,,," 1. notion, sense, realization ",,,,,,,
Aufführung,,," 1. behavior, behaviour, conduct, deportment ", 2. game , 3. presentation ,,,,,
Aufgabe,,," 1. job, assigned job, task ",,,,,,,
Aufgeld,,, 1. premium ,,,,,,,
Aufklärung,,, 1. civilization ," 2. account, explanation ",,,,,,
Auflage,,, 1. edition ,,,,,,,
Auflösung,,, 1. solution , 2. solution ,,,,,,
Aufmerksamkeit,,," 1. acuity, advertence, advertency, attention ",,,,,,,
Aufnahme,,," 1. acceptance, admission ",,,,,,,
Aufopferung,,, 1. abnegation ,,,,,,,
Aufrichtigkeit,,, 1. sincerity ,,,,,,,
Aufruhr,,," 1. mutiny, rebellion, revolt "," 2. agitation, riot, tumult ",,,,,,
Aufrührer,,," 1. mutineer, rebel ",,,,,,,
Aufschluß,,," 1. account, explanation ",,,,,,,
Aufschub,,," 1. adjournment, delay ",,,,,,,
Aufsehen,,," 1. ado, din, noise "," 2. astonishment, wonder, surprise ",,,,,,
Aufseher,,, 1. guard ,,,,,,,
Aufsichtsbeamter,,, 1. inspector ,,,,,,,
Aufstand,,," 1. mutiny, rebellion, revolt "," 2. agitation, riot, tumult ",,,,,,
Auftrag,,," 1. commission, errand ", 2. mandate , 3. order ,,,,,
Aufwand,,, 1. expenses , 2. luxury ,,,,,,
Aufwiegler,,," 1. activist, agitator ",,,,,,,
Aufzug,,," 1. elevator, lift ",,,,,,,
Auge,,, 1. eye ,,,,,,,
Augenarzt,,," 1. oculist, ophtalmologist ",,,,,,,
Augenblick,,," 1. instant, moment ",,,,,,,
Augenbraue,,," 1. brow, eyebrow ",,,,,,,
Augengläser,,," 1. glasses, spectacles ",,,,,,,
Augenlid,,, 1. eyelid ,,,,,,,
Augenschein,,, 1. appearance ,,,,,,,
Augenstar,,, 1. cataract ,,,,,,,
Augias,,, 1. Augeas ,,,,,,,
Augiasstall,,, 1. Augean stable ,,,,,,,
August,,, 1. Augustus , 2. August ,,,,,,
Auktion,,, 1. auction ,,,,,,,
Aula,,," 1. lounge, parlour, salon, sitting-room ",,,,,,,
Aureole,,," 1. aureole, halo ",,,,,,,
Aurora,,, 1. Aurora ,,,,,,,
Ausdehnung,,," 1. bulk, dimension, extend, size "," 2. dimension, measurement ", 3. expansion ,,,,,
Ausdruck,,, 1. expression , 2. term ,,,,,,
Ausdünstung,,, 1. fume ,,,,,,,
Ausflucht,,," 1. subterfuge, trick, trickery ", 2. pretext ,,,,,,
Ausflug,,," 1. excursion, outing, sightseeing trip ",,,,,,,
Ausführung,,," 1. accomplishment, acquittal ",,,,,,,
Ausgabe,,, 1. edition , 2. expenses ,,,,,,
Ausgang,,," 1. exit, way out ",,,,,,,
Aushalten,,, 1. perseverance ,,,,,,,
Auskunft,,," 1. account, information "," 2. advice, announcement, communication, message, notice, report ",,,,,,
